AddressID,AddressLine1,AddressLine2,City,StateProvinceID,PostalCode,SpatialLocation,rowguid,ModifiedDate
333,"50 Edward Ave","","Concord",9,"94519","POINT (-122.216700411757 37.9376019131263)","EBE095F2-E14F-429D-829C-922E807B6D65",2012-01-17 00:00:00.000
354,"5 Madrid","","Concord",9,"94519","POINT (-122.02079890947 37.9549855061301)","C13F0AB3-2847-4718-9DDD-0B1D73228C33",2012-01-25 00:00:00.000
11490,"6270 North Star Dr.","","Concord",9,"94519","POINT (-122.16720922713 38.0271721652509)","E7061DD0-1F9C-4B0D-8F31-3D5088CE7664",2013-12-17 00:00:00.000
11552,"5805 Churchill Dr.","","Concord",9,"94519","POINT (-121.830187834024 37.971674210714)","5B7A0606-DA07-43BB-89C4-B500D9018CC7",2012-12-21 00:00:00.000
11751,"9466 Morning Glory Dr.","","Concord",9,"94519","POINT (-121.902606600389 37.99351485254)","77D191AB-B53B-41E6-A061-2C3E148978F9",2012-02-25 00:00:00.000
11868,"4352 Marclair Dr.","","Concord",9,"94519","POINT (-121.830573424156 37.9727943569569)","EEAB48D7-7455-405C-AAF4-2737AC12C44C",2014-01-20 00:00:00.000
12095,"1940 Detroit Ave.","","Concord",9,"94519","POINT (-121.954410380519 37.9012170459911)","993406D9-07AC-4184-AA9E-E992806756CC",2014-05-24 00:00:00.000
12111,"5300 East 88th Street","","Concord",9,"94519","POINT (-121.8499868722 37.9891791867662)","1F1F95C0-EEA3-411A-AFE8-8EE23325CEEC",2014-02-06 00:00:00.000
12167,"1944 Serene Court","","Concord",9,"94519","POINT (-122.06960234869 37.9815805910693)","90AB530B-D9B7-49AE-97AA-A4DC510A90A5",2014-02-20 00:00:00.000
12206,"8914 Elkwood Dr.","","Concord",9,"94519","POINT (-121.887762659548 38.0094149673882)","67F2F5B5-4EB3-4D63-B923-0F4EC311ACF5",2013-11-03 00:00:00.000
12279,"712 Sweetwater Drive","","Concord",9,"94519","POINT (-122.16720922713 38.011974973857)","AA5B4B33-6E3C-4702-8143-543EB02ED73B",2014-05-12 00:00:00.000
12354,"5275 Whitehall Drive","","Concord",9,"94519","POINT (-121.89879031142 38.0195735695539)","20E63CF2-99EF-4B1C-BFB0-267DD991F4C4",2013-11-01 00:00:00.000
12421,"4535 Walnut Blvd.","","Concord",9,"94519","POINT (-122.04520062908 37.9891791867662)","FC411013-B7CE-437A-B643-22E25677B587",2014-01-25 00:00:00.000
12469,"9950 Edward Ave","","Concord",9,"94519","POINT (-121.874972070283 38.0173745816129)","8EF10679-1E28-40DE-ADD0-E91150D2C88A",2013-11-08 00:00:00.000
12750,"3848 East 39th Street","","Concord",9,"94519","POINT (-121.92319203103 37.9929784846147)","71E92B02-0545-4DF1-8E19-6E9938EB4046",2014-03-02 00:00:00.000
12821,"6973 Elena","","Concord",9,"94519","POINT (-121.8499868722 38.0043763781601)","A617C4D0-CAC7-4274-977D-5BB810C24887",2013-10-04 00:00:00.000
12890,"7559 Worth Ct.","","Concord",9,"94519","POINT (-121.910991171225 38.0081756760085)","6CC77BF5-A349-4530-8D7C-E9BD7DBF8350",2013-06-30 00:00:00.000
12895,"4861 Via Valencia","","Concord",9,"94519","POINT (-121.886589451615 37.9815805910693)","0612910C-F55E-4BA4-8B03-33D686F31529",2011-09-27 00:00:00.000
13009,"1828 Robinson Ave.","","Concord",9,"94519","POINT (-121.9332941803 37.9920861315999)","0E114A29-6CBA-4DDF-8CE9-3698BD2CBCD9",2014-03-18 00:00:00.000
13150,"975 Madrid","","Concord",9,"94519","POINT (-122.008598049665 38.0347707609478)","029FF8E0-6ABD-46EF-8E66-E9D38C163D92",2014-05-14 00:00:00.000
13250,"1569 Eagle Ct","","Concord",9,"94519","POINT (-122.14280750752 38.0309714630993)","CDE77D62-2161-4F87-A89C-BD17AE643354",2014-04-30 00:00:00.000
13372,"8740 Vista Way","","Concord",9,"94519","POINT (-122.191610946739 38.0005770803116)","619257F3-AF54-4574-A008-13C28E5B9FB2",2013-10-19 00:00:00.000
13425,"5139 The Trees Dr","","Concord",9,"94519","POINT (-122.034492175171 37.9118482306531)","F6189AAE-78B1-4040-8F32-3C4A77BF8277",2013-11-29 00:00:00.000
13441,"4176 Alexander Pl","","Concord",9,"94519","POINT (-122.106204928105 38.0081756760085)","AEC9191E-45E0-463A-991B-B7D049A62730",2013-08-05 00:00:00.000
13498,"4101 Buckthorn Court","","Concord",9,"94519","POINT (-122.003870017869 37.9374776340777)","3719DA66-320A-43FF-83DE-02B970B0FAEF",2013-12-16 00:00:00.000
13524,"2206 Clear View Circle","","Concord",9,"94519","POINT (-122.155008367325 38.0195735695539)","5E939F03-9B04-42CD-AA48-1268FA1BA8F1",2011-11-12 00:00:00.000
13574,"9715 San Francisco","","Concord",9,"94519","POINT (-122.057401488885 38.0385700587962)","02FB4362-28FC-4952-8804-C0DD3D39E732",2014-06-16 00:00:00.000
