BusinessEntityID,NationalIDNumber,LoginID,OrganizationNode,OrganizationLevel,JobTitle,BirthDate,MaritalStatus,Gender,HireDate,SalariedFlag,VacationHours,SickLeaveHours,CurrentFlag,rowguid,ModifiedDate
29,"948320468","adventure-works\mark1","/3/1/1/2/",4,"Production Technician - WC60",1979-09-25 00:00:00.000,"S","M",2009-01-23 00:00:00.000,False,19,29,True,"CDB2C6DF-93E5-4558-91C8-424D5E7C658B",2014-06-30 00:00:00.000
37,"442121106","adventure-works\chris2","/3/1/1/10/",4,"Production Technician - WC60",1986-08-07 00:00:00.000,"S","M",2009-03-07 00:00:00.000,False,16,28,True,"77B384C7-AFFB-4816-992B-F5B3034EE4FF",2014-06-30 00:00:00.000
39,"461786517","adventure-works\ed0","/3/1/1/12/",4,"Production Technician - WC60",1971-09-11 00:00:00.000,"S","M",2010-02-05 00:00:00.000,False,25,32,True,"8EF22FB3-AF37-4B44-8862-D60A7CB09D82",2014-06-30 00:00:00.000
41,"458159238","adventure-works\bryan0","/3/1/2/1/",4,"Production Technician - WC60",1973-08-27 00:00:00.000,"S","M",2009-01-21 00:00:00.000,False,35,37,True,"4652D4E4-6A27-47ED-9F51-C377E293DA28",2014-06-30 00:00:00.000
44,"276751903","adventure-works\simon0","/3/1/2/4/",4,"Production Technician - WC60",1990-05-17 00:00:00.000,"S","M",2008-12-08 00:00:00.000,False,38,39,True,"F734D38A-56B5-471E-8DED-A682E958A9B3",2014-06-30 00:00:00.000
46,"66073987","adventure-works\eugene1","/3/1/2/6/",4,"Production Technician - WC60",1976-02-10 00:00:00.000,"S","M",2009-02-08 00:00:00.000,False,36,38,True,"33543B35-77DA-4600-A41B-1EAFEA0AD643",2014-06-30 00:00:00.000
49,"912265825","adventure-works\barry0","/3/1/3/2/",4,"Production Technician - WC10",1956-03-26 00:00:00.000,"S","M",2008-01-07 00:00:00.000,False,88,64,True,"756A60AE-378F-43D8-9F93-1E821D1EAF52",2014-06-30 00:00:00.000
51,"132674823","adventure-works\jeffrey0","/3/1/3/4/",4,"Production Technician - WC10",1956-07-11 00:00:00.000,"S","M",2008-02-20 00:00:00.000,False,85,62,True,"6E086F41-B81D-4BDC-9F13-0EEC488DC43E",2014-06-30 00:00:00.000
57,"10708100","adventure-works\frank1","/3/1/4/2/",4,"Production Technician - WC50",1971-07-24 00:00:00.000,"S","M",2009-02-23 00:00:00.000,False,10,25,True,"B395CD84-77BA-4D3C-A49D-D9E8D6CF100B",2014-06-30 00:00:00.000
59,"843479922","adventure-works\bob0","/3/1/4/4/",4,"Production Technician - WC50",1979-08-16 00:00:00.000,"S","M",2008-12-24 00:00:00.000,False,12,26,True,"68616AEA-81E5-4940-A7E4-6FBA882BCCF6",2014-06-30 00:00:00.000
60,"827686041","adventure-works\pete0","/3/1/4/5/",4,"Production Technician - WC50",1977-02-03 00:00:00.000,"S","M",2009-01-11 00:00:00.000,False,13,26,True,"1F1D813D-3EDC-4274-8E9B-4519D71685B6",2014-06-30 00:00:00.000
63,"414476027","adventure-works\maciej0","/3/1/5/1/",4,"Production Technician - WC60",1955-01-30 00:00:00.000,"S","M",2010-01-29 00:00:00.000,False,30,35,True,"3229D93F-6A14-4BAC-ABC5-A91B9ECFB4D3",2014-06-30 00:00:00.000
64,"582347317","adventure-works\michael7","/3/1/5/2/",4,"Production Technician - WC60",1973-09-05 00:00:00.000,"S","M",2010-02-23 00:00:00.000,False,26,33,True,"492B24BD-BDE9-4371-B96E-CCD72264B91F",2014-06-30 00:00:00.000
66,"834186596","adventure-works\karan0","/3/1/5/4/",4,"Production Technician - WC60",1970-03-07 00:00:00.000,"S","M",2009-12-22 00:00:00.000,False,28,34,True,"08B1BA74-DD80-4FDA-8327-93268B84977B",2014-06-30 00:00:00.000
67,"63179277","adventure-works\jay0","/3/1/5/5/",4,"Production Technician - WC60",1976-02-11 00:00:00.000,"S","M",2009-03-05 00:00:00.000,False,32,36,True,"18187809-5294-474F-85A1-D5BE6BD518D6",2014-06-30 00:00:00.000
68,"537092325","adventure-works\charles0","/3/1/5/6/",4,"Production Technician - WC60",1971-09-02 00:00:00.000,"S","M",2009-12-03 00:00:00.000,False,27,33,True,"CDC11292-DF74-4FB0-8676-5B2AA4687142",2014-06-30 00:00:00.000
69,"752513276","adventure-works\steve0","/3/1/5/7/",4,"Production Technician - WC60",1991-04-06 00:00:00.000,"S","M",2009-02-15 00:00:00.000,False,31,35,True,"12F678D7-EAD3-4CF4-8518-A19AACF2A6D4",2014-06-30 00:00:00.000
74,"420023788","adventure-works\bjorn0","/3/1/6/3/",4,"Production Technician - WC30",1989-11-06 00:00:00.000,"S","M",2009-01-07 00:00:00.000,False,43,41,True,"A942E1E0-2D5E-4858-97C0-947020E96860",2014-06-30 00:00:00.000
75,"363996959","adventure-works\michiko0","/3/1/6/4/",4,"Production Technician - WC30",1982-06-27 00:00:00.000,"S","M",2009-01-26 00:00:00.000,False,44,42,True,"F359F5B6-5E18-4C62-8531-14D951911CE5",2014-06-30 00:00:00.000
80,"943170460","adventure-works\sandeep0","/3/1/7/2/",4,"Production Technician - WC40",1970-12-03 00:00:00.000,"S","M",2010-01-17 00:00:00.000,False,65,52,True,"606C21E2-3EC0-48A6-A9FE-6BC8123AC786",2014-06-30 00:00:00.000
81,"413787783","adventure-works\mihail0","/3/1/7/3/",4,"Production Technician - WC40",1971-03-09 00:00:00.000,"S","M",2009-12-29 00:00:00.000,False,64,52,True,"03A9BA14-0D5B-4671-B851-2C1721EFBF01",2014-06-30 00:00:00.000
82,"58791499","adventure-works\jack1","/3/1/7/4/",4,"Production Technician - WC40",1973-08-29 00:00:00.000,"S","M",2010-03-03 00:00:00.000,False,62,51,True,"D308D387-F7F3-4B5F-ABDA-FAF5574245CD",2014-06-30 00:00:00.000
85,"1662732","adventure-works\brian2","/3/1/7/7/",4,"Production Technician - WC40",1970-12-23 00:00:00.000,"S","M",2009-12-11 00:00:00.000,False,63,51,True,"C294F676-CAAF-4924-9730-BC81AE408BE1",2014-06-30 00:00:00.000
